Date,Open,High,Low,Close,Adj Close,Volume
2020-12-08,2.610000,2.750000,2.590000,2.610000,2.610000,155600
2020-12-09,2.640000,2.750000,2.570000,2.650000,2.650000,138400
2020-12-10,2.680000,3.600000,2.640000,3.080000,3.080000,600600
2020-12-11,3.250000,3.270000,2.560000,2.820000,2.820000,393500
2020-12-14,3.110000,6.950000,3.050000,4.480000,4.480000,91212700
2020-12-15,5.030000,8.600000,4.800000,6.700000,6.700000,103321200
2020-12-16,6.230000,6.500000,5.200000,5.800000,5.800000,11407400
2020-12-17,5.300000,5.300000,4.060000,4.270000,4.270000,8527000
2020-12-18,4.170000,4.170000,3.560000,3.560000,3.560000,3374100
2020-12-21,3.600000,4.190000,3.550000,3.780000,3.780000,2584200
2020-12-22,3.780000,4.120000,3.690000,3.830000,3.830000,1349200
2020-12-23,3.750000,3.880000,3.560000,3.770000,3.770000,1661700
2020-12-24,4.080000,4.120000,3.720000,3.830000,3.830000,964000
2020-12-28,3.760000,3.840000,3.300000,3.550000,3.550000,1017500
2020-12-29,3.500000,3.500000,3.280000,3.320000,3.320000,661800
2020-12-30,3.460000,3.840000,3.280000,3.520000,3.520000,1496400
2020-12-31,3.500000,3.520000,3.300000,3.460000,3.460000,970400
2021-01-04,3.390000,3.510000,3.330000,3.510000,3.510000,540100
2021-01-05,3.430000,3.570000,3.400000,3.540000,3.540000,356400
2021-01-06,3.540000,3.560000,3.370000,3.480000,3.480000,415800
2021-01-07,3.470000,3.730000,3.450000,3.730000,3.730000,397100
2021-01-08,3.760000,3.880000,3.600000,3.800000,3.800000,435400
2021-01-11,3.890000,3.900000,3.700000,3.790000,3.790000,406400
2021-01-12,3.780000,3.780000,3.430000,3.650000,3.650000,501600
2021-01-13,3.610000,3.660000,3.520000,3.620000,3.620000,297600
2021-01-14,3.660000,3.900000,3.560000,3.750000,3.750000,369400
2021-01-15,3.840000,3.850000,3.670000,3.830000,3.830000,295500
2021-01-19,3.840000,4.390000,3.700000,4.170000,4.170000,987500
2021-01-20,4.380000,4.450000,4.120000,4.210000,4.210000,720600
2021-01-21,4.300000,4.500000,4.200000,4.390000,4.390000,471400
2021-01-22,4.280000,4.370000,4.130000,4.300000,4.300000,431400
2021-01-25,4.350000,4.350000,3.880000,4.260000,4.260000,416600
2021-01-26,4.150000,4.300000,3.970000,4.090000,4.090000,213300
2021-01-27,3.820000,4.090000,3.750000,4.040000,4.040000,392100
2021-01-28,3.910000,4.240000,3.830000,4.200000,4.200000,516600
2021-01-29,4.210000,4.350000,3.950000,4.110000,4.110000,572600
2021-02-01,4.090000,4.220000,4.040000,4.180000,4.180000,381400
2021-02-02,4.160000,4.240000,4.120000,4.150000,4.150000,448400
2021-02-03,4.050000,5.000000,4.050000,4.630000,4.630000,1059100
2021-02-04,4.710000,4.970000,4.700000,4.960000,4.960000,579000
2021-02-05,5.000000,5.080000,4.620000,4.700000,4.700000,424600
2021-02-08,4.690000,5.210000,4.690000,5.210000,5.210000,517100
2021-02-09,5.230000,5.360000,5.030000,5.190000,5.190000,391600
2021-02-10,5.240000,5.340000,4.720000,4.990000,4.990000,360100
2021-02-11,5.110000,5.480000,4.900000,4.980000,4.980000,510100
2021-02-12,5.010000,5.300000,4.930000,5.130000,5.130000,190300
2021-02-16,5.130000,5.180000,4.890000,4.980000,4.980000,367700
2021-02-17,4.910000,5.020000,4.620000,4.920000,4.920000,263800
2021-02-18,4.870000,4.890000,4.400000,4.460000,4.460000,291100
2021-02-19,4.470000,4.660000,4.340000,4.440000,4.440000,159900
2021-02-22,4.370000,4.420000,4.050000,4.180000,4.180000,198000
